2	573	22	575
2	577	23	584
2	587	22	593
3	567	23	569
4	598	24	602
11	661	37	666
14	608	34	610
14	615	37	622
16	626	39	658
20	941	40	943
37	21	58	23
41	946	61	948
104	27	138	42
115	249	377	308
116	253	160	274
119	462	172	474
120	429	176	444
120	520	172	544
121	564	185	579
122	496	208	510
122	630	173	643
123	664	221	678
123	696	296	715
123	720	201	748
124	754	332	843
126	832	179	845
135	418	159	426
138	618	160	625
139	687	162	694
148	553	172	560
149	450	171	456
151	384	197	408
151	825	172	828
153	38	189	44
153	584	294	612
176	461	210	474
176	485	374	550
176	629	251	650
184	822	273	848
186	653	209	661
189	450	211	457
190	414	468	507
193	620	214	624
198	557	461	612
201	382	300	411
206	687	228	694
213	722	360	751
224	111	479	138
232	663	288	681
238	991	258	994
247	656	273	659
253	486	273	488
254	628	308	648
264	334	507	367
269	621	294	624
298	651	418	676
302	683	465	715
306	182	443	199
311	614	535	648
312	751	471	781
317	380	357	404
335	795	388	814
336	829	392	842
350	820	372	827
355	255	426	273
355	785	377	791
363	729	453	746
366	717	392	725
369	203	389	205
371	382	513	405
377	248	404	252
377	526	430	539
385	424	489	444
385	457	438	468
387	277	628	302
393	518	419	522
399	817	649	870
405	417	427	422
405	794	487	813
410	449	436	453
429	412	450	415
436	512	650	546
438	244	578	271
440	655	592	680
444	447	527	471
448	784	471	791
460	728	511	740
470	683	592	712
476	591	649	611
477	490	523	506
480	582	502	589
483	749	533	772
486	651	506	653
491	480	511	483
491	720	511	723
503	411	648	440
508	782	651	814
519	725	651	739
520	378	645	401
521	716	543	723
527	489	571	502
528	202	550	209
530	455	649	507
538	218	558	222
538	446	559	453
538	751	652	777
542	478	565	484
543	623	582	637
551	752	578	756
558	613	581	620
571	714	594	721
585	624	650	645
590	582	612	588
596	691	651	710
599	659	651	671
602	741	622	747
612	684	638	688
616	448	637	453
628	647	651	655
653	423	673	425
656	443	678	446
657	685	678	688
673	848	694	850
